Dorsal,Jugador,Liga,Posicion,Indice InStat,Partidos jugados,Minutos jugados,Starting lineup appearances,Jugador sustituido,De sustitucion,Ocasiones claras falladas,Ocasiones falladas por partido,Goles,Goles por partido,Tiros a portería,Tiros a porteria por partido,xG,Regates,Regates por partido, % disputas ganadas,Faltas cometidas por partido,Taclkes por Partido,Perdidas en campo propio,Perdidas en campo propio por partido,Balones recuperados,Balones recuperados por partido, % disputas por arriba ganadas,Interceptaciones,Interceptaciones por partido,Tarjetas amarillas,Asistencias,xA (Asistencias esperadas),Asistencias por partido,% de efectividad de pases,Pases de finalización,Pases de finalizacion por partido, % de efectividad de los centros,Balones perdidos,Balones perdidos por partido,Recuperaciones en campo rival,Recuperaciones en campo rival por partido,Tiros del rival,Remates del rival a puerta,Goles encajados,Goles encajados por partido,Tiros rechazados,Shots saved %,Pases,Pases efectivos,Pases completados por partido, % de efectividad de pases,Salidas con exito por partido,% Salidas con éxito,Pases largos completados,% Pases largos completados,Cleansheets,PSxG
10,Lionel Messi,La Liga,Delantero,361,9,822,8,0,1,3,0.33,4,0.4,21,2.1,0.58,88,9.64,0.55,0,0,7,0.77,6,0.66,0.67,8,0.9,3,0,0,0.0,0.82,36,3.94,0.33,92,10.07,1,0.11,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
20,Sergi Roberto,La Liga,Centrocampista,334,7,667,7,1,0,0,0.00,1,0.1,1,0.1,0.05,10,1.35,0.68,0,0,6,0.81,38,5.13,0.65,44,6.3,1,2,1.6,0.3,0.92,9,1.21,0.33,21,2.83,5,0.67,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
2,Dani Carvajal,La Liga,Defensa,332,4,324,3,0,1,0,0.00,0,0.0,1,0.5,0.01,5,1.39,0.72,1,2.3,4,1.11,19,5.28,0.88,25,6.3,2,1,0,0.3,0.85,5,1.39,0.29,18,5.00,3,0.83,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
4,Sergio Ramos,La Liga,Defensa,323,8,722,8,1,0,0,0.00,2,0.3,7,1.8,0.33,6,0.75,0.66,1.3,1.3,1,0.12,63,7.85,0.62,43,5.4,2,0,0,0.0,0.94,1,0.12,1,25,3.12,6,0.75,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
22,Anssumane Fati,La Liga,Delantero,323,7,451,6,6,1,1,0.20,4,0.6,7,0.3,0.21,33,6.59,0.38,0,0,2,0.40,7,1.40,0.25,11,1.6,1,0,0,0.0,0.86,7,1.40,0.5,44,8.78,3,0.60,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
14,Philippe Coutinho,La Liga,Centrocampista,320,7,454,5,4,2,0,0.00,2,0.3,8,0.6,0.30,22,4.36,0.56,0,0,4,0.79,10,1.98,0.11,10,1.4,0,2,0.6,0.3,0.86,6,1.19,0.5,28,5.55,6,1.19,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
3,Gerard Pique,La Liga,Defensa,316,8,741,8,1,0,0,0.00,0,0.0,1,0.3,0.07,2,0.24,0.74,0.5,1.1,5,0.61,83,10.08,0.7,59,7.4,2,0,0,0.0,0.95,1,0.12,0,16,1.94,9,1.09,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
18,Jordi Alba,La Liga,Defensa,314,8,717,8,3,0,0,0.00,0,0.0,1,0.1,0.01,8,1.00,0.4,0.6,1.5,11,1.38,37,4.64,0.17,48,6.0,2,3,0,0.4,0.86,18,2.26,0.1,47,5.90,5,0.63,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
9,Karim Benzema,La Liga,Delantero,313,8,743,8,2,0,6,0.73,4,0.5,12,1.3,0.42,16,1.94,0.42,0,0,7,0.85,4,0.48,0.27,14,1.8,0,3,0,0.4,0.84,12,1.45,0.2,63,7.63,1,0.12,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
12,Jules Kounde,La Liga,Defensa,313,6,574,6,0,0,0,0.00,1,0.2,1,0.1,0.08,11,1.72,0.62,1.1,0.6,5,0.78,59,9.25,0.6,37,6.2,2,0,0,0.0,0.91,2,0.31,0,28,4.39,9,1.41,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
